(406, 236)
(406, 236)
(406, 236)
(406, 236)
(406, 236)
(819, 188)
(876, 165)
(651, 184)
(583, 191)
(580, 191)
(580, 191)
(879, 206)
(1064, 264)
(1362, 542)
(1444, 789)
(1143, 726)
(655, 533)
(515, 534)
(393, 662)
(627, 749)
(1434, 681)
(1607, 776)
(1541, 856)
(1105, 880)
(1044, 831)
(1189, 700)
(1546, 488)
(1579, 307)
(1491, 259)
(1027, 292)
(1011, 441)
(1387, 648)
(1530, 775)
(1427, 876)
(1130, 917)
(814, 903)
(443, 843)
(325, 751)
(307, 621)
(436, 498)
(592, 478)
(941, 459)
(1168, 400)
(1286, 307)
(1335, 253)
(1341, 179)
(1338, 114)
(1245, 80)
(944, 93)
(792, 172)
(1022, 281)
(1581, 381)
(1806, 519)
(1714, 629)
(1383, 809)
(863, 834)
(635, 725)
(567, 498)
(550, 384)
(527, 340)
(502, 291)
(473, 270)
(454, 257)
(447, 248)
(444, 240)
(444, 240)
(444, 240)
(444, 240)
